Frame,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16
Frame1,[100 192],[109 185],[123 155],[141 152],[193 163],[217 176],[132 154],[130  86],[129  80],[129  46],[87 45],[102  62],[115  80],[143  90],[155 117],[173 150]
Frame2,[127 188],[126 180],[133 144],[150 144],[177 169],[193 182],[141 143],[139  84],[139  78],[143  48],[97 53],[111  67],[127  80],[151  90],[164 118],[178 148]
Frame3,[110 185],[190 173],[138 164],[146 161],[197 165],[216 175],[142 163],[137  86],[136  80],[139  47],[96 46],[112  66],[124  81],[148  91],[160 120],[178 153]
Frame4,[132 185],[198 178],[137 167],[143 158],[209 169],[219 177],[139 162],[133  87],[132  82],[132  48],[90 50],[110  69],[120  83],[144  90],[159 115],[181 148]
Frame5,[117 183],[193 175],[135 165],[143 158],[199 166],[219 175],[138 160],[132  88],[132  81],[132  48],[90 51],[108  68],[120  83],[143  91],[156 119],[176 150]
Frame6,[153 185],[201 179],[137 167],[144 159],[208 170],[218 177],[139 163],[132  87],[131  82],[131  48],[90 48],[112  69],[121  83],[143  91],[159 117],[181 149]
Frame7,[ 99 187],[169 177],[133 162],[143 156],[203 167],[219 177],[137 159],[132  87],[132  81],[133  48],[89 51],[107  69],[119  82],[144  91],[158 117],[177 149]
Frame8,[116 192],[139 178],[132 161],[143 156],[206 168],[218 178],[137 158],[132  87],[131  81],[131  48],[88 50],[106  66],[119  82],[144  90],[159 114],[180 147]
Frame9,[115 190],[138 178],[132 160],[143 154],[207 168],[218 177],[137 157],[132  86],[131  81],[131  48],[89 51],[105  65],[119  82],[143  90],[159 113],[179 145]
Frame10,[118 189],[158 177],[132 162],[143 156],[208 169],[216 178],[138 159],[132  86],[131  82],[131  48],[89 47],[111  69],[120  82],[143  89],[160 111],[177 136]
Frame11,[ 97 187],[120 180],[129 156],[142 153],[205 168],[219 178],[136 154],[132  87],[131  82],[132  48],[87 53],[101  70],[117  82],[144  90],[158 112],[176 140]
Frame12,[125 189],[134 178],[128 155],[142 153],[207 169],[214 178],[135 154],[132  86],[131  82],[131  48],[89 48],[105  65],[119  82],[143  90],[162 110],[180 128]
Frame13,[ 92 185],[177 177],[133 163],[143 156],[207 167],[218 177],[138 159],[131  87],[131  82],[132  48],[89 52],[104  68],[118  83],[143  91],[160 112],[178 138]
Frame14,[ 85 187],[150 176],[132 162],[143 155],[207 167],[215 178],[137 159],[132  87],[131  82],[132  48],[90 51],[105  66],[119  83],[142  90],[160 112],[179 139]
Frame15,[ 89 188],[171 178],[132 163],[143 156],[208 167],[218 178],[138 160],[132  87],[131  81],[132  48],[90 50],[104  64],[119  82],[143  90],[160 112],[179 140]
Frame16,[ 99 190],[111 179],[125 149],[141 149],[186 169],[210 179],[133 149],[131  86],[131  81],[132  49],[89 51],[97 60],[117  82],[143  90],[162 109],[181 127]
Frame17,[ 87 187],[117 179],[131 162],[142 155],[207 167],[218 178],[137 159],[132  87],[131  81],[131  48],[89 51],[98 61],[118  82],[143  90],[160 112],[178 143]
Frame18,[ 95 188],[118 177],[127 157],[143 154],[203 167],[218 178],[136 157],[131  86],[131  81],[130  48],[88 51],[95 59],[117  82],[143  90],[159 111],[176 136]
Frame19,[ 86 191],[113 182],[121 148],[139 150],[183 173],[197 184],[131 149],[130  86],[129  81],[127  48],[89 50],[93 57],[116  83],[141  89],[160 107],[178 126]
Frame20,[ 82 189],[111 180],[123 151],[141 153],[200 171],[204 182],[132 152],[132  86],[131  81],[130  48],[89 49],[100  60],[119  82],[143  90],[161 109],[179 129]
Frame21,[129 192],[116 183],[127 151],[144 152],[194 171],[209 180],[136 151],[133  86],[132  81],[133  48],[90 48],[108  65],[121  82],[145  89],[165 112],[181 132]
Frame22,[130 191],[129 177],[131 148],[149 147],[195 164],[216 175],[139 147],[136  85],[135  81],[137  49],[95 46],[110  65],[123  81],[148  90],[166 113],[182 139]
Frame23,[133 190],[130 179],[134 150],[153 148],[200 168],[215 176],[143 148],[138  86],[138  80],[140  48],[97 47],[112  67],[126  81],[150  91],[170 113],[185 135]
