Frame,LEFT_FOOT,LEFT_KNEE,LEFT_HIP,RIGHT_HIP,RIGHT_KNEE,RIGHT_FOOT,PELVIS,TORSO,NECK,HEAD,LEFT_WRIST,LEFT_ELBOW,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_ELBOW,RIGHT_WRIST
1,"[379, 178]","[279, 372]","[310, 364]","[410, 334]","[483, 318]","[503, 385]","[408, 362]","[404, 156]","[392, 112]","[375, -52]","[199, 363]","[222, 287]","[274, 190]","[535, 146]","[626, 281]","[612, 367]"
2,"[373, 177]","[281, 378]","[293, 365]","[433, 358]","[475, 314]","[505, 353]","[400, 360]","[404, 152]","[393, 110]","[376, -52]","[202, 364]","[228, 287]","[275, 187]","[536, 143]","[625, 283]","[612, 359]"
3,"[394, 191]","[250, 369]","[259, 359]","[446, 350]","[489, 342]","[506, 348]","[404, 355]","[410, 154]","[399, 110]","[376, -53]","[207, 358]","[220, 279]","[277, 182]","[540, 144]","[625, 280]","[613, 364]"
4,"[389, 187]","[250, 348]","[283, 359]","[413, 324]","[502, 242]","[532, 319]","[403, 354]","[404, 151]","[393, 110]","[378, -55]","[204, 368]","[220, 293]","[278, 186]","[538, 142]","[625, 275]","[617, 363]"
5,"[383, 169]","[280, 366]","[290, 357]","[452, 329]","[461, 290]","[502, 315]","[411, 350]","[409, 149]","[401, 112]","[379, -54]","[204, 376]","[214, 279]","[280, 174]","[542, 143]","[624, 280]","[615, 363]"
6,"[234, 378]","[176, 243]","[211, 283]","[193, 316]","[376, 255]","[429, 312]","[188, 308]","[521, 207]","[504, 180]","[437, -56]","[502, 321]","[269, 328]","[342, 171]","[535, 170]","[462, 282]","[577, 291]"
7,"[99, 301]","[108, 288]","[398, 337]","[512, 473]","[539, 317]","[553, 504]","[473, 386]","[451, 186]","[450, 150]","[479, 3]","[344, 384]","[314, 340]","[334, 166]","[585, 198]","[627, 367]","[585, 352]"
8,"[489, 462]","[122, 302]","[424, 384]","[530, 408]","[560, 382]","[622, 472]","[483, 392]","[418, 190]","[417, 155]","[415, -28]","[381, 380]","[273, 332]","[280, 191]","[553, 176]","[628, 308]","[594, 386]"
9,"[468, 438]","[103, 314]","[382, 379]","[501, 417]","[591, 346]","[617, 449]","[448, 397]","[405, 188]","[402, 161]","[394, -55]","[309, 368]","[131, 309]","[272, 179]","[547, 170]","[628, 289]","[598, 356]"
10,"[592, 478]","[124, 311]","[396, 370]","[503, 384]","[563, 378]","[616, 449]","[443, 376]","[408, 189]","[402, 160]","[392, -47]","[402, 379]","[140, 312]","[272, 180]","[551, 172]","[627, 281]","[597, 351]"
11,"[113, 304]","[96, 287]","[371, 374]","[482, 418]","[505, 304]","[459, 416]","[420, 393]","[407, 186]","[410, 151]","[402, -38]","[177, 317]","[184, 295]","[292, 175]","[544, 173]","[615, 330]","[557, 330]"
12,"[160, 289]","[245, 354]","[340, 384]","[379, 334]","[561, 371]","[542, 340]","[390, 377]","[391, 192]","[390, 165]","[413, -22]","[330, 374]","[108, 327]","[265, 195]","[524, 182]","[611, 271]","[583, 348]"
13,"[103, 236]","[92, 275]","[342, 421]","[345, 312]","[551, 440]","[173, 239]","[382, 408]","[390, 196]","[393, 155]","[392, -13]","[99, 461]","[151, 331]","[263, 206]","[514, 186]","[608, 317]","[607, 391]"
14,"[109, 254]","[149, 377]","[323, 398]","[407, 351]","[562, 431]","[176, 234]","[383, 402]","[402, 194]","[404, 156]","[402, 1]","[390, 374]","[215, 343]","[294, 205]","[521, 188]","[612, 313]","[610, 395]"
15,"[82, 263]","[119, 414]","[358, 427]","[455, 443]","[576, 446]","[411, 423]","[410, 435]","[412, 194]","[413, 152]","[423, -13]","[340, 368]","[209, 344]","[304, 193]","[530, 192]","[619, 326]","[606, 401]"
16,"[136, 280]","[142, 390]","[362, 424]","[478, 420]","[579, 445]","[460, 445]","[422, 427]","[415, 191]","[413, 145]","[402, -4]","[136, 288]","[231, 332]","[316, 185]","[528, 188]","[622, 315]","[616, 400]"
17,"[113, 245]","[172, 376]","[363, 412]","[461, 428]","[570, 436]","[461, 413]","[415, 414]","[424, 197]","[422, 153]","[414, 1]","[116, 270]","[224, 345]","[317, 196]","[534, 195]","[619, 335]","[606, 401]"
18,"[133, 211]","[225, 265]","[358, 421]","[456, 439]","[570, 428]","[314, 301]","[411, 429]","[419, 198]","[422, 151]","[436, -5]","[291, 320]","[215, 340]","[311, 192]","[529, 204]","[620, 329]","[613, 398]"
19,"[178, 193]","[225, 364]","[357, 421]","[449, 442]","[543, 425]","[287, 262]","[409, 427]","[413, 196]","[418, 148]","[432, 0]","[324, 353]","[231, 339]","[316, 191]","[517, 201]","[615, 325]","[606, 396]"
20,"[344, 386]","[375, 394]","[361, 404]","[449, 409]","[540, 441]","[516, 497]","[414, 404]","[413, 196]","[415, 150]","[421, 3]","[247, 296]","[237, 327]","[321, 196]","[508, 201]","[596, 314]","[592, 385]"
21,"[210, 186]","[364, 368]","[364, 394]","[446, 392]","[525, 443]","[508, 474]","[412, 390]","[409, 192]","[413, 154]","[424, 4]","[259, 349]","[246, 291]","[325, 192]","[495, 198]","[567, 304]","[572, 373]"
22,"[320, 342]","[362, 419]","[356, 411]","[458, 408]","[538, 442]","[562, 489]","[410, 411]","[413, 197]","[413, 155]","[413, 11]","[269, 334]","[256, 308]","[328, 199]","[494, 203]","[568, 322]","[565, 377]"
23,"[118, 286]","[370, 465]","[361, 403]","[462, 397]","[525, 445]","[547, 524]","[413, 400]","[415, 201]","[413, 170]","[407, 21]","[286, 328]","[270, 316]","[337, 206]","[497, 205]","[566, 321]","[567, 375]"
24,"[307, 390]","[364, 441]","[370, 400]","[470, 403]","[524, 447]","[490, 474]","[423, 401]","[422, 200]","[424, 168]","[431, 22]","[283, 315]","[250, 298]","[342, 199]","[500, 205]","[567, 310]","[577, 374]"
25,"[155, 243]","[311, 361]","[385, 397]","[464, 395]","[537, 455]","[542, 508]","[422, 395]","[424, 178]","[427, 138]","[441, -11]","[288, 378]","[240, 279]","[337, 174]","[514, 178]","[601, 285]","[587, 380]"
26,"[370, 384]","[305, 284]","[369, 346]","[488, 350]","[538, 443]","[534, 447]","[432, 349]","[444, 156]","[439, 153]","[471, -6]","[260, 351]","[218, 221]","[327, 152]","[561, 162]","[622, 284]","[580, 375]"
27,"[450, 322]","[366, 323]","[380, 296]","[514, 283]","[586, 419]","[567, 396]","[450, 286]","[449, 67]","[438, 82]","[493, -65]","[254, 345]","[228, 200]","[320, 69]","[592, 76]","[625, 237]","[598, 355]"
28,"[389, 327]","[271, 346]","[366, 244]","[491, 259]","[605, 323]","[600, 389]","[431, 248]","[393, 0]","[398, -14]","[237, -58]","[253, 296]","[246, 159]","[266, 0]","[543, -14]","[601, 143]","[614, 258]"
29,"[375, 236]","[225, 256]","[310, 205]","[412, 194]","[563, 241]","[566, 362]","[358, 198]","[323, -51]","[313, -62]","[234, -70]","[79, 284]","[142, 147]","[220, -59]","[437, -38]","[518, 109]","[381, 195]"
30,"[213, 389]","[194, 272]","[240, 219]","[418, 222]","[336, 311]","[369, 273]","[321, 224]","[298, 9]","[289, 16]","[295, -72]","[28, 256]","[114, 144]","[183, -4]","[410, -6]","[481, 141]","[461, 240]"
