Frame,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16
Frame1,[ 18 212],[ 12 179],[ 49 170],[ 88 207],[115 166],[ 55 221],[ 66 178],[102  81],[103  87],[123   6],[  4 173],[  5 126],[61 68],[158  88],[142 162],[ 74 220]
Frame2,[ 49 184],[  8 186],[ 55 157],[108 177],[192 173],[113 178],[ 81 162],[86 95],[84 93],[102  29],[ 45 174],[ 19 135],[44 90],[127  91],[173 140],[145 178]
Frame3,[ 94 190],[ 73 184],[ 80 169],[125 155],[173 187],[208 197],[102 161],[ 89 105],[90 93],[94 50],[ 24 169],[ 27 139],[ 49 107],[128 104],[148 139],[157 168]
Frame4,[ 91 197],[ 29 183],[ 89 170],[140 178],[ 74 192],[ 87 197],[117 173],[126 106],[127 101],[123  62],[48 87],[ 55 109],[ 94 105],[157 107],[180 138],[191 173]
Frame5,[ 71 199],[ 49 193],[ 92 174],[131 179],[183 187],[165 198],[114 175],[111 113],[110 105],[108  69],[69 44],[68 73],[ 82 107],[141 111],[152 143],[155 175]
Frame6,[ 66 199],[ 20 186],[ 94 175],[141 181],[182 190],[135 199],[118 177],[114 118],[112 111],[109  71],[82 49],[82 75],[ 87 116],[141 115],[154 142],[158 173]
Frame7,[ 63 200],[ 36 183],[102 174],[143 182],[179 193],[ 52 208],[118 175],[124 118],[124 113],[119  71],[111  75],[144 128],[100 117],[147 115],[160 142],[165 175]
Frame8,[ 64 198],[ 39 183],[ 98 171],[142 178],[190 192],[ 96 203],[119 172],[123 119],[124 111],[121  70],[99 53],[95 83],[ 97 118],[147 115],[159 144],[163 176]
Frame9,[ 64 200],[ 54 181],[ 98 167],[142 173],[195 193],[127 197],[121 170],[123 116],[124 109],[121  70],[86 53],[88 77],[ 96 114],[147 115],[160 144],[163 174]
Frame10,[ 65 199],[ 58 177],[ 97 169],[141 175],[196 190],[116 199],[120 172],[122 117],[123 110],[119  70],[90 55],[90 76],[ 95 114],[147 115],[159 144],[162 177]
Frame11,[ 66 199],[ 73 178],[ 97 168],[142 175],[197 189],[108 199],[121 171],[123 118],[122 109],[121  68],[105  57],[95 78],[ 97 117],[147 115],[159 144],[161 178]
Frame12,[ 69 200],[ 46 183],[ 96 167],[140 173],[194 190],[118 202],[118 169],[122 117],[121 109],[120  70],[124 126],[ 99 114],[ 95 117],[146 115],[158 143],[161 178]
Frame13,[ 65 198],[ 55 180],[ 96 168],[140 176],[194 190],[ 88 203],[118 172],[123 118],[122 108],[121  69],[105  54],[96 79],[ 96 116],[147 115],[159 144],[161 179]
Frame14,[ 66 198],[ 54 180],[ 97 169],[141 176],[194 190],[ 98 201],[120 173],[122 118],[122 108],[119  68],[95 52],[93 78],[ 96 117],[147 115],[159 144],[162 179]
Frame15,[ 66 198],[ 47 181],[ 96 170],[141 177],[193 190],[ 82 204],[118 173],[122 118],[122 108],[120  69],[104  61],[95 82],[ 96 117],[147 116],[159 144],[161 178]
Frame16,[ 66 198],[ 51 182],[ 96 170],[140 177],[196 188],[ 82 204],[118 174],[122 118],[121 108],[118  67],[99 51],[95 75],[ 96 118],[146 115],[158 144],[160 178]
Frame17,[ 66 199],[ 52 186],[ 97 169],[139 177],[192 191],[ 83 208],[117 172],[121 117],[121 107],[119  68],[104  59],[95 82],[ 95 115],[146 116],[158 144],[161 178]
Frame18,[ 65 199],[ 82 175],[ 99 170],[141 176],[191 191],[ 65 206],[119 172],[123 117],[122 107],[120  68],[101  51],[95 82],[ 95 116],[148 115],[159 145],[162 178]
Frame19,[ 67 200],[ 80 173],[ 98 171],[142 178],[194 190],[ 73 206],[121 174],[122 117],[122 108],[119  69],[95 51],[92 76],[ 96 116],[147 115],[159 145],[162 178]
Frame20,[ 67 200],[ 87 170],[ 98 169],[142 178],[192 190],[ 69 206],[120 173],[123 116],[123 107],[121  67],[100  48],[95 75],[ 95 113],[148 115],[159 144],[163 177]
Frame21,[ 61 197],[ 67 174],[113 173],[148 179],[187 189],[ 74 198],[137 179],[127 115],[127 107],[124  68],[102  49],[97 72],[100 114],[151 113],[163 146],[166 179]
Frame22,[ 50 212],[ 98 173],[121 184],[158 191],[209 186],[116 207],[142 188],[138 114],[138 106],[139  65],[102  34],[99 66],[107 111],[170 113],[181 146],[185 182]
Frame23,[ 72 219],[ 28 181],[ 82 179],[151 180],[157 180],[ 64 206],[120 180],[117 104],[115  96],[113  44],[ 88 132],[ 54 129],[ 78 102],[155 102],[172 145],[190 183]
Frame24,[ 43 221],[ 36 201],[123 187],[140 189],[139 185],[ 51 221],[139 185],[141  94],[139  77],[148  18],[103 212],[ 88 174],[90 91],[189  86],[209 168],[197 196]
Frame25,[ 89 199],[114 188],[ 57 193],[ 59 195],[ 65 103],[129 198],[ 87 183],[114  80],[116  79],[121   2],[170 176],[151 139],[66 82],[96 80],[111 108],[151 107]
